 education, marital-status, occupation, relationship, sex, native-country,age, education-num, capital-gain, capital-loss, hours-per-week, income
 HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,51,9,0,0,40, <=50K
 Some-college, Never-married, Craft-repair, Not-in-family, Male, United-States,34,10,0,0,40, <=50K
 Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,44,10,0,1902,40, >50K
 Masters, Married-civ-spouse, Prof-specialty, Husband, Male, ?,61,14,0,0,40, >50K
 Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,37,10,0,0,44, >50K
 Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,36,13,0,1977,40, >50K
 Some-college, Separated, Machine-op-inspct, Not-in-family, Male, United-States,34,10,0,0,40, <=50K
 Some-college, Never-married, Sales, Own-child, Female, United-States,23,10,0,0,25, <=50K
 Masters, Divorced, Prof-specialty, Not-in-family, Male, United-States,63,14,0,0,40, >50K
 HS-grad, Widowed, ?, Not-in-family, Female, United-States,63,9,0,0,11, <=50K
 Masters, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,47,14,0,1977,41, >50K
 HS-grad, Divorced, Sales, Unmarried, Female, United-States,55,9,0,0,50, >50K
 Bachelors, Never-married, Protective-serv, Own-child, Male, United-States,31,13,0,0,48, <=50K
 Some-college, Divorced, Other-service, Not-in-family, Male, United-States,27,10,0,0,40, <=50K
 Bachelors, Divorced, Adm-clerical, Not-in-family, Female, United-States,58,13,14084,0,40, >50K
 Some-college, Married-civ-spouse, Protective-serv, Husband, Male, United-States,28,10,0,0,48, <=50K
 7th-8th, Divorced, Machine-op-inspct, Not-in-family, Female, United-States,52,4,0,0,64, <=50K
 HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,31,9,0,0,50, <=50K
 Some-college, Divorced, Adm-clerical, Unmarried, Female, United-States,53,10,0,0,38, <=50K
 Some-college, Divorced, Tech-support, Not-in-family, Female, United-States,43,10,0,0,50, <=50K
 HS-grad, Married-spouse-absent, Farming-fishing, Unmarried, Male, United-States,43,9,0,0,40, <=50K
 Masters, Divorced, Exec-managerial, Not-in-family, Male, United-States,50,14,0,0,80, >50K
 HS-grad, Married-civ-spouse, ?, Husband, Male, United-States,68,9,0,0,35, <=50K
 11th, Married-civ-spouse, Other-service, Husband, Male, United-States,37,7,0,0,40, <=50K
 HS-grad, Divorced, Machine-op-inspct, Not-in-family, Male, United-States,26,9,0,0,40, <=50K
 11th, Never-married, Sales, Not-in-family, Female, United-States,22,7,0,0,40, <=50K
 Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,22,10,0,0,55, <=50K
 Some-college, Married-civ-spouse, Craft-repair, Husband, Male, United-States,59,10,15024,0,50, >50K
 Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,30,10,0,0,40, <=50K
 HS-grad, Separated, Other-service, Not-in-family, Female, United-States,24,9,0,0,55, <=50K
 HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,30,9,0,0,40, <=50K
 Bachelors, Divorced, Protective-serv, Not-in-family, Male, United-States,50,13,0,0,40, >50K
 12th, Married-civ-spouse, Other-service, Husband, Male, United-States,38,8,3942,0,40, <=50K
 HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,29,9,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Sales, Husband, Male, United-States,76,9,1424,0,24, <=50K
 Assoc-voc, Never-married, Craft-repair, Unmarried, Male, United-States,21,11,0,0,40, <=50K
 Some-college, Widowed, Other-service, Unmarried, Female, United-States,65,10,0,0,24, <=50K
 HS-grad, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,43,9,0,0,45, >50K
 Bachelors, Married-civ-spouse, Prof-specialty, Wife, Female, United-States,29,13,0,0,24, <=50K
 Bachelors, Never-married, Sales, Not-in-family, Male, United-States,32,13,0,0,45, <=50K
 Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,37,12,0,0,65, >50K
 HS-grad, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,64,9,0,0,16, <=50K
 Some-college, Married-civ-spouse, Craft-repair, Husband, Male, United-States,49,10,0,0,40, >50K
 Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,44,13,0,0,40, >50K
 HS-grad, Married-civ-spouse, ?, Husband, Male, United-States,68,9,1409,0,15, <=50K
 Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,34,13,7688,0,40, >50K
 Some-college, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,35,10,0,0,36, <=50K
 Some-college, Divorced, Adm-clerical, Not-in-family, Female, United-States,53,10,0,0,43, <=50K
 Assoc-voc, Never-married, Sales, Unmarried, Male, South,24,11,0,0,50, <=50K
 Some-college, Divorced, Adm-clerical, Unmarried, Female, United-States,31,10,0,0,40, <=50K
 Some-college, Married-civ-spouse, Transport-moving, Husband, Male, United-States,25,10,0,0,38, <=50K
 HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,36,9,0,0,45, <=50K
 Some-college, Never-married, Sales, Not-in-family, Male, United-States,29,10,0,0,60, <=50K
 HS-grad, Married-civ-spouse, Transport-moving, Husband, Male, United-States,37,9,0,0,50, >50K
 Doctorate, Never-married, Prof-specialty, Not-in-family, Female, United-States,42,16,0,0,45, <=50K
 HS-grad, Divorced, Craft-repair, Not-in-family, Female, United-States,30,9,0,0,40, <=50K
 Some-college, Never-married, Exec-managerial, Not-in-family, Male, Cuba,32,10,0,0,70, <=50K
 Bachelors, Never-married, Exec-managerial, Not-in-family, Male, United-States,47,13,10520,0,45, >50K
 HS-grad, Divorced, Craft-repair, Not-in-family, Male, United-States,44,9,0,0,40, >50K
 HS-grad, Never-married, Sales, Own-child, Male, United-States,19,9,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,22,9,0,0,48, <=50K
 9th, Married-civ-spouse, Craft-repair, Husband, Male, United-States,51,5,0,0,50, >50K
 HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,69,9,0,0,16, <=50K
 11th, Married-civ-spouse, ?, Husband, Male, United-States,73,7,0,0,8, <=50K
 11th, Never-married, ?, Other-relative, Female, United-States,18,7,0,0,20, <=50K
 HS-grad, Never-married, Prof-specialty, Not-in-family, Male, United-States,33,9,0,0,40, <=50K
 Some-college, Never-married, Adm-clerical, Not-in-family, Female, United-States,22,10,0,0,55, <=50K
 Bachelors, Never-married, Tech-support, Not-in-family, Female, United-States,33,13,0,0,45, >50K
 Some-college, Never-married, Adm-clerical, Other-relative, Female, United-States,20,10,0,0,40, <=50K
 Some-college, Married-civ-spouse, Craft-repair, Husband, Male, United-States,28,10,0,0,40, <=50K
 HS-grad, Never-married, Handlers-cleaners, Not-in-family, Female, United-States,25,9,0,0,40, <=50K
 HS-grad, Never-married, Other-service, Not-in-family, Male, United-States,27,9,0,0,48, <=50K
 HS-grad, Never-married, Transport-moving, Own-child, Male, United-States,22,9,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Farming-fishing, Husband, Male, United-States,67,9,0,0,35, <=50K
 HS-grad, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,31,9,0,0,40, <=50K
 Some-college, Never-married, ?, Unmarried, Female, United-States,36,10,0,0,25, <=50K
 Prof-school, Married-civ-spouse, Prof-specialty, Husband, Male, India,43,15,0,0,50, >50K
 Bachelors, Never-married, Prof-specialty, Not-in-family, Female, United-States,33,13,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Prof-specialty, Wife, Female, United-States,37,9,0,0,35, >50K
 HS-grad, Married-civ-spouse, Transport-moving, Husband, Male, United-States,27,9,0,0,60, <=50K
 Some-college, Never-married, Transport-moving, Not-in-family, Male, United-States,36,10,0,0,40, <=50K
 Assoc-acdm, Divorced, Sales, Not-in-family, Female, United-States,33,12,0,0,45, <=50K
 Bachelors, Married-civ-spouse, Sales, Husband, Male, Iran,63,13,15024,0,40, >50K
 Bachelors, Divorced, Other-service, Unmarried, Female, United-States,48,13,0,0,56, >50K
 HS-grad, Never-married, Handlers-cleaners, Other-relative, Male, United-States,25,9,0,0,45, <=50K
 HS-grad, Married-civ-spouse, Other-service, Husband, Male, United-States,41,9,0,0,10, <=50K
 HS-grad, Never-married, Other-service, Not-in-family, Male, United-States,26,9,0,0,40, <=50K
 Some-college, Never-married, Adm-clerical, Own-child, Female, United-States,23,10,0,0,40, <=50K
 HS-grad, Never-married, Other-service, Unmarried, Female, United-States,33,9,1831,0,40, <=50K
 Masters, Married-civ-spouse, Prof-specialty, Husband, Male, Taiwan,30,14,0,0,17, <=50K
 HS-grad, Widowed, Other-service, Not-in-family, Female, United-States,67,9,0,0,20, <=50K
 HS-grad, Married-civ-spouse, Sales, Husband, Male, United-States,32,9,0,0,55, >50K
 HS-grad, Divorced, Craft-repair, Not-in-family, Male, United-States,48,9,0,0,60, >50K
 HS-grad, Widowed, Other-service, Not-in-family, Female, United-States,51,9,0,0,24, <=50K
 Masters, Never-married, Sales, Not-in-family, Male, China,39,14,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,40,13,0,0,60, <=50K
 HS-grad, Married-civ-spouse, Transport-moving, Husband, Male, United-States,40,9,0,0,40, >50K
 HS-grad, Never-married, Machine-op-inspct, Other-relative, Male, Mexico,19,9,0,0,40, <=50K
 HS-grad, Divorced, Handlers-cleaners, Unmarried, Female, United-States,28,9,0,0,36, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,47,13,0,0,60, >50K
 Some-college, Never-married, Prof-specialty, Not-in-family, Female, United-States,20,10,0,0,20, <=50K
 HS-grad, Widowed, Exec-managerial, Other-relative, Male, United-States,41,9,914,0,40, <=50K
 Some-college, Married-civ-spouse, Other-service, Wife, Female, United-States,29,10,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,40,13,0,0,50, >50K
 HS-grad, Widowed, Exec-managerial, Not-in-family, Female, United-States,61,9,0,0,40, <=50K
 11th, Never-married, Craft-repair, Not-in-family, Male, Mexico,25,7,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,26,9,0,0,40, <=50K
 Bachelors, Never-married, Adm-clerical, Not-in-family, Female, United-States,43,13,0,0,40, <=50K
 7th-8th, Never-married, Craft-repair, Not-in-family, Male, United-States,17,4,0,0,45, <=50K
 Masters, Divorced, Prof-specialty, Unmarried, Female, United-States,43,14,9562,0,40, >50K
 HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male, England,73,9,3471,0,40, <=50K
 Some-college, Divorced, Machine-op-inspct, Own-child, Female, United-States,46,10,0,0,40, <=50K
 Some-college, Never-married, Other-service, Own-child, Male, United-States,19,10,0,0,20, <=50K
 HS-grad, Divorced, Machine-op-inspct, Not-in-family, Male, United-States,37,9,0,0,40, <=50K
 Some-college, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,26,10,0,0,40, <=50K
 HS-grad, Divorced, Sales, Own-child, Male, United-States,47,9,0,1876,40, <=50K
 Masters, Never-married, Prof-specialty, Not-in-family, Male, United-States,47,14,0,0,40, <=50K
 Bachelors, Never-married, Prof-specialty, Not-in-family, Male, United-States,29,13,0,0,40, <=50K
 HS-grad, Never-married, Adm-clerical, Not-in-family, Female, United-States,29,9,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Male, United-States,33,13,0,0,55, <=50K
 HS-grad, Never-married, Transport-moving, Other-relative, Male, United-States,20,9,0,0,40, <=50K
 10th, Married-civ-spouse, Craft-repair, Wife, Female, Guatemala,28,6,0,0,48, <=50K
 Bachelors, Never-married, Prof-specialty, Not-in-family, Male, ?,26,13,0,0,45, <=50K
 Masters, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,41,14,0,0,40, <=50K
 7th-8th, Married-civ-spouse, ?, Husband, Male, United-States,67,4,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Sales, Husband, Male, United-States,43,13,0,0,50, <=50K
 9th, Married-civ-spouse, Handlers-cleaners, Husband, Male, United-States,35,5,0,0,46, <=50K
 12th, Never-married, Other-service, Own-child, Female, United-States,18,8,0,0,25, <=50K
 Some-college, Divorced, Adm-clerical, Not-in-family, Male, United-States,55,10,0,0,40, <=50K
 HS-grad, Divorced, Machine-op-inspct, Own-child, Female, United-States,44,9,0,0,40, <=50K
 HS-grad, Widowed, Priv-house-serv, Not-in-family, Female, United-States,64,9,0,0,15, <=50K
 Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Male, United-States,34,11,0,0,75, <=50K
 Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,38,10,0,0,60, >50K
 HS-grad, Never-married, Other-service, Own-child, Female, United-States,25,9,0,0,8, <=50K
 Some-college, Never-married, Transport-moving, Own-child, Male, United-States,21,10,0,0,40, <=50K
 1st-4th, Married-civ-spouse, Other-service, Husband, Male, Mexico,37,2,0,0,53, <=50K
 Some-college, Divorced, Sales, Unmarried, Female, United-States,39,10,0,0,40, <=50K
 Some-college, Divorced, Adm-clerical, Not-in-family, Female, United-States,34,10,0,0,50, <=50K
 Bachelors, Never-married, Exec-managerial, Not-in-family, Female, United-States,23,13,0,0,45, <=50K
 Some-college, Married-civ-spouse, Craft-repair, Husband, Male, United-States,54,10,0,0,40, >50K
 Masters, Separated, Exec-managerial, Not-in-family, Male, United-States,49,14,0,0,70, >50K
 HS-grad, Married-civ-spouse, Adm-clerical, Wife, Female, United-States,25,9,0,0,40, <=50K
 Assoc-acdm, Married-civ-spouse, Sales, Husband, Male, United-States,51,12,0,0,50, <=50K
 HS-grad, Never-married, Farming-fishing, Unmarried, Male, United-States,29,9,0,0,35, <=50K
 Bachelors, Married-civ-spouse, Protective-serv, Wife, Female, United-States,27,13,0,0,48, <=50K
 HS-grad, Married-civ-spouse, Priv-house-serv, Other-relative, Female, United-States,53,9,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,68,13,0,0,55, >50K
 HS-grad, Married-civ-spouse, Sales, Husband, Male, United-States,56,9,0,0,40, >50K
 Doctorate, Never-married, Prof-specialty, Not-in-family, Male, ?,30,16,0,0,40, <=50K
 HS-grad, Divorced, Sales, Unmarried, Female, United-States,24,9,0,0,48, <=50K
 9th, Widowed, ?, Unmarried, Female, United-States,70,5,0,0,25, <=50K
 Some-college, Never-married, Sales, Own-child, Female, United-States,24,10,0,0,40, <=50K
 Assoc-acdm, Widowed, ?, Not-in-family, Female, United-States,74,12,0,0,20, <=50K
 Some-college, Never-married, ?, Not-in-family, Female, United-States,23,10,0,0,25, <=50K
 Masters, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,41,14,0,0,55, <=50K
 HS-grad, Never-married, Sales, Own-child, Female, United-States,45,9,0,0,19, <=50K
 HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,35,9,0,0,40, <=50K
 HS-grad, Never-married, Handlers-cleaners, Not-in-family, Male, United-States,21,9,0,0,40, <=50K
 11th, Separated, Adm-clerical, Unmarried, Female, United-States,45,7,0,0,25, <=50K
 11th, Never-married, Sales, Not-in-family, Female, United-States,18,7,0,0,30, <=50K
 Bachelors, Never-married, Priv-house-serv, Not-in-family, Male, United-States,49,13,0,0,25, <=50K
 Assoc-voc, Separated, Prof-specialty, Own-child, Female, United-States,49,11,0,0,36, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,45,13,0,0,37, <=50K
 HS-grad, Never-married, Handlers-cleaners, Other-relative, Male, United-States,27,9,0,0,40, <=50K
 Some-college, Married-civ-spouse, Exec-managerial, Husband, Male, Philippines,28,10,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,35,13,0,0,45, >50K
 Some-college, Never-married, Machine-op-inspct, Not-in-family, Male, United-States,33,10,0,0,40, <=50K
 11th, Married-civ-spouse, Sales, Husband, Male, United-States,35,7,0,0,35, <=50K
 HS-grad, Never-married, Craft-repair, Other-relative, Male, United-States,19,9,0,0,40, <=50K
 Some-college, Never-married, Other-service, Not-in-family, Female, United-States,33,10,0,0,28, <=50K
 HS-grad, Divorced, Sales, Not-in-family, Male, United-States,28,9,14084,0,40, >50K
 Some-college, Married-spouse-absent, Adm-clerical, Not-in-family, Female, United-States,49,10,0,0,40, <=50K
 HS-grad, Married-civ-spouse, ?, Husband, Male, United-States,61,9,0,2603,32, <=50K
 Some-college, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,39,10,0,0,25, <=50K
 HS-grad, Separated, Adm-clerical, Unmarried, Female, United-States,22,9,0,0,40, <=50K
 10th, Married-civ-spouse, Craft-repair, Husband, Male, United-States,42,6,0,0,40, <=50K
 Some-college, Never-married, Adm-clerical, Own-child, Male, United-States,22,10,0,0,40, <=50K
 HS-grad, Never-married, Craft-repair, Own-child, Male, United-States,18,9,0,0,40, <=50K
 9th, Widowed, Handlers-cleaners, Unmarried, Male, United-States,49,5,0,2231,40, >50K
 Doctorate, Married-civ-spouse, Prof-specialty, Husband, Male, Cuba,33,16,0,0,40, >50K
 HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,28,9,0,0,45, <=50K
 7th-8th, Married-spouse-absent, Prof-specialty, Other-relative, Male, Puerto-Rico,42,4,0,0,35, <=50K
 Some-college, Never-married, Other-service, Own-child, Male, United-States,20,10,2176,0,25, <=50K
 Some-college, Married-civ-spouse, Protective-serv, Husband, Male, United-States,50,10,0,0,48, <=50K
 Some-college, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,32,10,0,0,40, >50K
 HS-grad, Separated, Handlers-cleaners, Unmarried, Female, United-States,31,9,0,0,40, <=50K
 Assoc-voc, Never-married, Other-service, Not-in-family, Male, United-States,29,11,0,0,40, <=50K
 Some-college, Married-civ-spouse, Other-service, Husband, Male, United-States,46,10,0,0,40, <=50K
 Doctorate, Never-married, Prof-specialty, Not-in-family, Male, United-States,32,16,0,0,77, <=50K
 HS-grad, Widowed, Adm-clerical, Unmarried, Female, United-States,61,9,0,0,24, <=50K
 11th, Married-civ-spouse, Craft-repair, Husband, Male, United-States,43,7,0,0,55, <=50K
 HS-grad, Never-married, Handlers-cleaners, Not-in-family, Female, United-States,35,9,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,39,13,0,0,40, <=50K
 11th, Never-married, ?, Own-child, Male, United-States,18,7,0,0,35, <=50K
 Some-college, Married-civ-spouse, Farming-fishing, Husband, Male, United-States,42,10,0,0,60, <=50K
 Bachelors, Never-married, Prof-specialty, Not-in-family, Female, United-States,23,13,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Sales, Husband, Male, United-States,32,13,0,0,45, <=50K
 HS-grad, Married-civ-spouse, Transport-moving, Husband, Male, United-States,52,9,0,0,85, >50K
 Assoc-acdm, Married-civ-spouse, Tech-support, Husband, Male, United-States,36,12,0,0,40, >50K
 Some-college, Married-civ-spouse, Prof-specialty, Husband, Male, ?,38,10,0,0,50, >50K
 HS-grad, Widowed, Sales, Not-in-family, Female, United-States,50,9,0,2444,72, >50K
 Assoc-acdm, Never-married, ?, Own-child, Male, United-States,23,12,0,0,40, <=50K
 Prof-school, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,71,15,0,0,12, >50K
 HS-grad, Never-married, Other-service, Other-relative, Female, United-States,27,9,0,0,30, <=50K
 HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,56,9,0,0,60, <=50K
 Some-college, Never-married, Prof-specialty, Unmarried, Male, United-States,28,10,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,45,9,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Female, United-States,28,9,0,0,40, <=50K
 Some-college, Married-civ-spouse, Protective-serv, Husband, Male, United-States,28,10,0,0,40, <=50K
 Some-college, Never-married, Machine-op-inspct, Not-in-family, Female, United-States,18,10,0,0,15, <=50K
 7th-8th, Divorced, Handlers-cleaners, Not-in-family, Male, United-States,62,4,0,0,40, <=50K
 12th, Separated, Machine-op-inspct, Unmarried, Female, United-States,35,8,0,0,40, <=50K
 10th, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,39,6,0,0,60, <=50K
 Some-college, Never-married, Adm-clerical, Not-in-family, Male, United-States,24,10,0,0,20, <=50K
 9th, Divorced, Farming-fishing, Not-in-family, Male, United-States,58,5,0,0,40, <=50K
 HS-grad, Divorced, Sales, Not-in-family, Male, United-States,48,9,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,57,13,0,0,50, >50K
 Bachelors, Married-civ-spouse, Sales, Husband, Male, United-States,31,13,0,0,60, <=50K
 HS-grad, Married-civ-spouse, Sales, Husband, Male, United-States,25,9,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Wife, Female, United-States,34,13,15024,0,36, >50K
 7th-8th, Married-civ-spouse, Farming-fishing, Husband, Male, United-States,29,4,0,0,72, <=50K
 Assoc-acdm, Divorced, Exec-managerial, Unmarried, Female, United-States,38,12,0,0,40, <=50K
 Some-college, Never-married, Other-service, Own-child, Female, United-States,21,10,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Farming-fishing, Husband, Male, United-States,34,9,0,0,70, <=50K
 Bachelors, Never-married, Sales, Unmarried, Female, United-States,50,13,0,0,32, <=50K
 HS-grad, Divorced, Prof-specialty, Unmarried, Female, United-States,50,9,0,0,40, <=50K
 Assoc-voc, Divorced, Exec-managerial, Unmarried, Female, United-States,49,11,0,0,45, <=50K
 Bachelors, Never-married, Prof-specialty, Not-in-family, Male, United-States,30,13,0,0,70, <=50K
 Masters, Married-civ-spouse, Prof-specialty, Husband, Male, Taiwan,29,14,0,0,20, <=50K
 Some-college, Never-married, Adm-clerical, Not-in-family, Male, United-States,22,10,0,0,20, <=50K
 HS-grad, Married-civ-spouse, Transport-moving, Husband, Male, United-States,42,9,0,0,50, <=50K
 Some-college, Never-married, ?, Own-child, Male, United-States,19,10,0,0,40, <=50K
 Some-college, Divorced, Other-service, Unmarried, Female, United-States,31,10,0,0,48, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,42,13,0,0,21, <=50K
 Some-college, Never-married, Other-service, Own-child, Male, United-States,20,10,0,0,20, <=50K
 HS-grad, Married-civ-spouse, ?, Husband, Male, United-States,51,9,0,0,40, <=50K
 10th, Married-civ-spouse, Craft-repair, Husband, Male, United-States,50,6,0,0,40, >50K
 9th, Never-married, Craft-repair, Own-child, Male, United-States,27,5,0,0,40, <=50K
 11th, Never-married, Other-service, Not-in-family, Male, United-States,26,7,0,0,40, <=50K
 HS-grad, Married-civ-spouse, ?, Husband, Male, United-States,61,9,0,0,40, >50K
 Some-college, Never-married, Protective-serv, Own-child, Male, Germany,20,10,0,0,40, <=50K
 Some-college, Married-civ-spouse, Craft-repair, Husband, Male, United-States,51,10,0,0,40, >50K
 HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,52,9,0,0,40, <=50K
 HS-grad, Divorced, Adm-clerical, Not-in-family, Male, United-States,33,9,0,0,38, <=50K
 Bachelors, Married-civ-spouse, Adm-clerical, Husband, Male, India,31,13,0,0,60, <=50K
 Some-college, Married-civ-spouse, Other-service, Wife, Female, United-States,24,10,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,56,13,0,0,40, <=50K
 Some-college, Never-married, ?, Own-child, Male, United-States,19,10,0,0,40, <=50K
 11th, Married-civ-spouse, Craft-repair, Husband, Male, United-States,29,7,3942,0,50, <=50K
 HS-grad, Never-married, Sales, Other-relative, Female, United-States,18,9,1055,0,30, <=50K
 Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,43,10,0,0,50, <=50K
 Doctorate, Married-spouse-absent, Prof-specialty, Unmarried, Male, United-States,43,16,25236,0,64, >50K
 HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,21,9,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Adm-clerical, Wife, Female, United-States,51,9,0,0,40, <=50K
 11th, Married-civ-spouse, ?, Other-relative, Female, United-States,20,7,0,0,39, <=50K
 Some-college, Married-civ-spouse, Transport-moving, Husband, Male, United-States,41,10,0,0,65, >50K
 Some-college, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,45,10,0,0,40, >50K
 HS-grad, Never-married, Other-service, Not-in-family, Female, United-States,20,9,0,0,30, <=50K
 Bachelors, Married-civ-spouse, Exec-managerial, Wife, Female, United-States,28,13,0,0,60, >50K
 Masters, Married-civ-spouse, Prof-specialty, Wife, Female, United-States,50,14,15024,0,40, >50K
 Bachelors, Divorced, Craft-repair, Not-in-family, Male, United-States,47,13,0,0,40, <=50K
 7th-8th, Widowed, Farming-fishing, Not-in-family, Male, United-States,80,4,0,0,35, <=50K
 HS-grad, Married-civ-spouse, Adm-clerical, Wife, Female, Iran,47,9,0,0,35, <=50K
 Some-college, Never-married, ?, Own-child, Male, United-States,19,10,0,0,84, <=50K
 HS-grad, Married-civ-spouse, Sales, Husband, Male, United-States,45,9,0,0,50, <=50K
 11th, Never-married, Handlers-cleaners, Own-child, Male, United-States,17,7,0,0,12, <=50K
 HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,37,9,0,0,50, <=50K
 Some-college, Never-married, Machine-op-inspct, Not-in-family, Female, United-States,27,10,0,0,40, <=50K
 12th, Never-married, Other-service, Own-child, Male, United-States,17,8,0,0,16, <=50K
 HS-grad, Never-married, Farming-fishing, Own-child, Male, United-States,18,9,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Male, United-States,57,9,0,0,40, <=50K
 HS-grad, Separated, Adm-clerical, Unmarried, Female, United-States,26,9,0,0,40, <=50K
 Masters, Never-married, Exec-managerial, Own-child, Female, United-States,26,14,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,36,13,0,0,45, >50K
 HS-grad, Married-civ-spouse, Farming-fishing, Husband, Male, United-States,51,9,0,0,80, >50K
 Some-college, Never-married, Other-service, Not-in-family, Male, United-States,38,10,0,0,40, <=50K
 5th-6th, Married-civ-spouse, ?, Husband, Male, United-States,77,3,0,0,20, <=50K
 HS-grad, Never-married, Craft-repair, Not-in-family, Male, United-States,51,9,0,0,40, >50K
 11th, Never-married, Handlers-cleaners, Not-in-family, Male, United-States,24,7,0,0,40, <=50K
 HS-grad, Divorced, Farming-fishing, Not-in-family, Male, United-States,35,9,0,0,65, <=50K
 10th, Divorced, ?, Not-in-family, Male, United-States,35,6,0,0,99, <=50K
 Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,51,13,15024,0,40, >50K
 Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,28,13,0,0,40, >50K
 HS-grad, Married-civ-spouse, Transport-moving, Husband, Male, United-States,37,9,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,43,9,0,0,40, <=50K
 HS-grad, Never-married, Handlers-cleaners, Not-in-family, Male, United-States,23,9,0,0,30, <=50K
 Bachelors, Married-civ-spouse, Sales, Wife, Female, Puerto-Rico,42,13,0,0,40, <=50K
 Some-college, Married-civ-spouse, Adm-clerical, Wife, Female, United-States,58,10,0,0,40, >50K
 HS-grad, Married-civ-spouse, Other-service, Wife, Female, United-States,52,9,0,0,20, <=50K
 HS-grad, Divorced, Sales, Not-in-family, Female, United-States,29,9,0,0,50, <=50K
 Some-college, Married-civ-spouse, Craft-repair, Husband, Male, United-States,27,10,0,0,60, <=50K
